State,Constituency,Candidate,Party,Votes
MP,BADWAHA,SACHIN BIRLA,Indian National Congress,96230
,,,,
MP,BADWAHA,HITENDRASINGH SOLANKI,Bharatiya Janata Party,65722
,,,,
MP,BADWAHA,SUBODH SUBHASHCHANDRA SHARMA,Independent,1599
,,,,
MP,BADWAHA,KESHRILAL PIPLODE,Bahujan Samaj Party,1497
,,,,
MP,BADWAHA,MOH. RAFEEK MUNDA,Independent,1050
,,,,
MP,BADWAHA,AAKASH BIRLA,Madhya Pradesh Jan Vikas Party,814
,,,,
MP,BADWAHA,HEMENDRA PAGARE,Sapaks Party,496
,,,,
MP,BADWAHA,PARMANANND KEWAT,Independent,351
,,,,
MP,BADWAHA,MAHAVIR MANDLOI,Aam Aadmi Party,336
,,,,
MP,BADWAHA,ANOKCHAND,Independent,228
,,,,
MP,BADWAHA,CHETAN MANDLOI,Independent,208
,,,,
MP,BADWAHA,SMT. KAVITA KARMA,Sanjhi Virasat Party,155
,,,,
MP,BADWAHA,None of the Above,None of the Above,1553
,,,,
MP,BADWARA,VIJAYRAGHVENDRA SINGH (BASANT SINGH),Indian National Congress,84236
,,,,
MP,BADWARA,MOTI KASHYAP,Bharatiya Janata Party,62876
,,,,
MP,BADWARA,AJAY GOTIYA,Bahujan Samaj Party,5942
,,,,
MP,BADWARA,ARVIND SINGH TEKAM,Gondvana Gantantra Party,4938
,,,,
MP,BADWARA,RATAN LAL BHATTAR,Independent,2024
,,,,
MP,BADWARA,BANIYA PRASAD,Independent,1877
,,,,
MP,BADWARA,ANJAN KOL,Communist Party of India,1745
,,,,
MP,BADWARA,"""'' SURESH KOL ''""",Independent,1433
,,,,
MP,BADWARA,PREM CHAND MAJHI,Independent,1276
,,,,
MP,BADWARA,ALKA GOUD,Aam Aadmi Party,1081
,,,,
MP,BADWARA,LAL SINGH BARKADE,Pichhara Samaj Party United,766
,,,,
MP,BADWARA,None of the Above,None of the Above,3783
,,,,
MP,BAGLI,KANNOJE PAHADSINGH,Bharatiya Janata Party,89417
,,,,
MP,BAGLI,KAMAL WASKALE,Indian National Congress,77574
,,,,
MP,BAGLI,TERSINGH DEVDA,Independent,8234
,,,,
MP,BAGLI,MUKESH KUMAR BHILALA,Bahujan Samaj Party,2136
,,,,
MP,BAGLI,SURESH MORYA,Independent,1934
,,,,
MP,BAGLI,MOJEELAL AKHADIYA,Aam Aadmi Party,1102
,,,,
MP,BAGLI,PRAHLAD HARISINGH KARMA,Independent,571
,,,,
MP,BAGLI,BHIMSINGH,Bahujan Sangharshh Dal,479
,,,,
MP,BAGLI,DASHRATH SINGH THAKUR,Independent,477
,,,,
MP,BAGLI,None of the Above,None of the Above,3086
,,,,
MP,BAHORIBAND,PRANAY PRABHAT PANDEY (GUDDU BHAIYA),Bharatiya Janata Party,89041
,,,,
MP,BAHORIBAND,KUNWAR SAURABH SINGH,Indian National Congress,72606
,,,,
MP,BAHORIBAND,CHOUDHARI GOVIND PATEL,Bahujan Samaj Party,5143
,,,,
MP,BAHORIBAND,SATYENDRA SINGH DABBU RAJPUT,Independent,2727
,,,,
MP,BAHORIBAND,ANIL SINGH SENGAR (ADVOCATE),Aam Aadmi Party,1662
,,,,
MP,BAHORIBAND,A.K.KHAN,Pichhara Samaj Party United,1220
,,,,
MP,BAHORIBAND,SATYENDRA SINGH,Independent,864
,,,,
MP,BAHORIBAND,HANS RAM YADAV (LALU YADAV),Independent,771
,,,,
MP,BAHORIBAND,VIRENDRA URF GUDDAN TAMRAKAR,Independent,447
,,,,
MP,BAHORIBAND,UDAYBHAN SINGH MARAVI,Independent,365
,,,,
MP,BAHORIBAND,RADHA CHARAN (PAPPU BHAIYA),Bhartiya Shakti Chetna Party,358
,,,,
MP,BAHORIBAND,RAMTAHL,Independent,254
,,,,
MP,BAHORIBAND,NARAYAN ALAS SANJAY PATEL,Shiv Sena,235
,,,,
MP,BAHORIBAND,ASHOK KUMAR RAIKWAR,Independent,232
,,,,
MP,BAHORIBAND,RAJKUMAR BAKSHI,Independent,225
,,,,
MP,BAHORIBAND,None of the Above,None of the Above,2735
,,,,
MP,BAIHAR ,SANJAY UIKEY,Indian National Congress,79399
,,,,
MP,BAIHAR ,ANUPAMA NETAM,Bharatiya Janata Party,62919
,,,,
MP,BAIHAR ,THAKUR GOPAL SINGH KUSHARE,Gondvana Gantantra Party,16994
,,,,
MP,BAIHAR ,ASHOK MASIH DHURWEY,Communist Party of India,1900
,,,,
MP,BAIHAR ,DILAN SINGH KODAPE,Aam Aadmi Party,1777
,,,,
MP,BAIHAR ,BAIRAGSINGH TEKAM,Bahujan Samaj Party,1575
,,,,
MP,BAIHAR ,DHARAMSINGH MARKAM,Peoples Party of India (Democratic),1535
,,,,
MP,BAIHAR ,SUNIL TEKAM,Independent,1312
,,,,
MP,BAIHAR ,SMT. URMILA NANDLAL UIKEY,Independent,1009
,,,,
MP,BAIHAR ,None of the Above,None of the Above,5249
,,,,
MP,BALAGHAT ,GAURISHANKER CHATURBHUJ BISEN,Bharatiya Janata Party,73476
,,,,
MP,BALAGHAT ,ANUBHA MUNJARE,Samajwadi Party,45822
,,,,
MP,BALAGHAT ,VISHVESHWAR  BHAGAT,Indian National Congress,28701
,,,,
MP,BALAGHAT ,ANURAG CHATURMOHTA (MONTU BHAIYA),Independent,17113
,,,,
MP,BALAGHAT ,YOGESH SAMRITE,Bahujan Samaj Party,2704
,,,,
MP,BALAGHAT ,MANORAMA NAGESHWAR,Independent,1486
,,,,
MP,BALAGHAT ,SHYAM MOHAN MATHRE (KAKA),Independent,855
,,,,
MP,BALAGHAT ,MANISHA NANU VAIDYA,Sapaks Party,728
,,,,
MP,BALAGHAT ,BABULAL PITA SUKHLAL BHAGAT,Independent,677
,,,,
MP,BALAGHAT ,DEEPAK KUMAR PATLE,Independent,545
,,,,
MP,BALAGHAT ,DEEPAK KUMAR PINCHA,Independent,518
,,,,
MP,BALAGHAT ,AFSANA KHAN,Aam Aadmi Party,503
,,,,
