State,Constituency,Candidate,Party,Votes
,,,,
RJ,Jhadol  ,SHANKAR LAL PARGI,Communist Party of India  (Marxist),10498
,,,,
RJ,Jhadol  ,SOHAN LAL,Independent,6209
,,,,
RJ,Jhadol  ,NIMA LAL,Bahujan Samaj Party,5757
,,,,
RJ,Jhadol  ,LADURAM,Aam Aadmi Party,4584
,,,,
RJ,Jhadol  ,None of the Above,None of the Above,7457
,,,,
RJ,Jhalrapatan,VASUNDHARA RAJE,Bharatiya Janata Party,116484
,,,,
RJ,Jhalrapatan,MANVENDRA SINGH,Indian National Congress,81504
,,,,
RJ,Jhalrapatan,SHREELAL,Independent,7490
,,,,
RJ,Jhalrapatan,GAYAS AHMED KHAN,Bahujan Samaj Party,2684
,,,,
RJ,Jhalrapatan,GOVERDHAN DANGI,Aam Aadmi Party,1602
,,,,
RJ,Jhalrapatan,VIRAM LAL,Independent,1215
,,,,
RJ,Jhalrapatan,MOHAMMAD NASIR,Independent,567
,,,,
RJ,Jhalrapatan,KARAN SHARMA,Independent,497
,,,,
RJ,Jhalrapatan,None of the Above,None of the Above,3125
,,,,
RJ,Jhotwara,LALCHAND KATARIA,Indian National Congress,127185
,,,,
RJ,Jhotwara,RAJPAL SINGH SHEKHAWAT,Bharatiya Janata Party,116438
,,,,
RJ,Jhotwara,CHHOTU RAM KUMAWAT,Bharat Vahini Party,5733
,,,,
RJ,Jhotwara,JUGAL KISHORE SHARMA,Aam Aadmi Party,1335
,,,,
RJ,Jhotwara,KISHAN GOUR,Independent,1285
,,,,
RJ,Jhotwara,YOGESH JADOUN,Bahujan Samaj Party,1177
,,,,
RJ,Jhotwara,DILEEP KUMAR SHARMA (SIRSI),Independent,992
,,,,
RJ,Jhotwara,ASHISH KUMAR SHARMA,Bharat Lok Sewak Party,798
,,,,
RJ,Jhotwara,LAV KUMAR KUMAWAT,Independent,726
,,,,
RJ,Jhotwara,JITENDRA SINGH,Independent,662
,,,,
RJ,Jhotwara,RAJESH KUMAR MINA,Independent,631
,,,,
RJ,Jhotwara,MADAN SINGH TANWAR,Rajasthan Janta Party,428
,,,,
RJ,Jhotwara,MOHAN LAL KUMHAR,"""Nationalist People's Front""",400
,,,,
RJ,Jhotwara,ASEEM VERMA,Independent,342
,,,,
RJ,Jhotwara,PRAHALAD CHOUDHARY,Independent,341
,,,,
RJ,Jhotwara,SNEH LATA,Independent,277
,,,,
RJ,Jhotwara,KHEM SINGH CHOUHAN,Indian Peoples Green Party,211
,,,,
RJ,Jhotwara,ROOP NARAYAN KUMAWAT,Bharatiya Jan Kranti Dal (Democratic),200
,,,,
RJ,Jhotwara,NATWAR LAL SHARMA,Janata Dal  (United),199
,,,,
RJ,Jhotwara,DEEPENDRA SINGH NARUKA,Jago Party,189
,,,,
RJ,Jhotwara,None of the Above,None of the Above,1770
,,,,
RJ,Jhunjhunu,BRIJENDRA SINGH OLA,Indian National Congress,76177
,,,,
RJ,Jhunjhunu,RAJENDRA SINGH BHAMBOO,Bharatiya Janata Party,35612
,,,,
RJ,Jhunjhunu,NISHEET KUMAR ALIAS BABLU CHOUDHARY,Independent,29410
,,,,
RJ,Jhunjhunu,YASHWARDHAN SINGH,Independent,12007
,,,,
RJ,Jhunjhunu,RAJESH,Bahujan Samaj Party,5933
,,,,
RJ,Jhunjhunu,DALIP,Independent,2006
,,,,
RJ,Jhunjhunu,RAJKUMAR MOOND,Aam Aadmi Party,1900
,,,,
RJ,Jhunjhunu,RAJENDRA FAUJI,Rashtriya Loktantrik Party,1598
,,,,
RJ,Jhunjhunu,MAHESH KUMAR,Abhinav Rajasthan Party,621
,,,,
RJ,Jhunjhunu,VIJENDRA SINGH,Independent,570
,,,,
RJ,Jhunjhunu,SANJAY,Independent,529
,,,,
RJ,Jhunjhunu,BHIM SINGH,Independent,412
,,,,
RJ,Jhunjhunu,TEJA RAM,Independent,299
,,,,
RJ,Jhunjhunu,GURU GOKUL CHAND RASHTARWADI,Independent,296
,,,,
RJ,Jhunjhunu,RAMESH KUMAR,Independent,246
,,,,
RJ,Jhunjhunu,None of the Above,None of the Above,1580
,,,,
RJ,Jodhpur,MANISHA PANWAR,Indian National Congress,64172
,,,,
RJ,Jodhpur,ATUL BHANSALI,Bharatiya Janata Party,58323
,,,,
RJ,Jodhpur,RAVINDRA SINGH RANAWAT,Independent,1282
,,,,
RJ,Jodhpur,ANIL PANWAR,Independent,452
,,,,
RJ,Jodhpur,ANIL ACHARYA,Abhinav Rajasthan Party,391
,,,,
RJ,Jodhpur,VIJAY RAO,Independent,369
,,,,
RJ,Jodhpur,DR. ANIL UPADHYAY,Bahujan Samaj Party,347
,,,,
RJ,Jodhpur,ANIL KOTHARI,Shiv Sena,209
,,,,
RJ,Jodhpur,JABAR SINGH,Aam Aadmi Party,208
,,,,
RJ,Jodhpur,LAKHAN,Independent,162
,,,,
RJ,Jodhpur,SOHAN LAL CHOUDHARY,Bharat Vahini Party,147
,,,,
RJ,Jodhpur,VIRENDRA,Dalit Kranti Dal,147
,,,,
RJ,Jodhpur,MOHAMMED ARIF,Independent,99
,,,,
RJ,Jodhpur,GHANSHYAM MEWARA,Independent,66
,,,,
RJ,Jodhpur,ASHRAF KHAN,Independent,65
,,,,
RJ,Jodhpur,LAXMI DEVI,People\xe2\x80\x99s Liberal Party,40
,,,,
RJ,Jodhpur,None of the Above,None of the Above,1107
,,,,
RJ,Kaman,ZAHIDA KHAN,Indian National Congress,110789
,,,,
RJ,Kaman,JAWAHAR SINGH BEADHAM,Bharatiya Janata Party,71168
,,,,
RJ,Kaman,ISHWARI DAYAL,Bahujan Samaj Party,3808
,,,,
RJ,Kaman,MAKSOOD KHAN,Independent,1907
,,,,
RJ,Kaman,BAL KISHAN,Aam Aadmi Party,897
,,,,
RJ,Kaman,RAMESH CHAND KHURANA,Independent,503
,,,,
RJ,Kaman,JAIKAM ALI,Independent,258
,,,,
RJ,Kaman,RAKESH KUMAR,Loktantrik Janta Dal,187
,,,,
RJ,Kaman,ANAAND SWAROOP,Independent,132
,,,,
RJ,Kaman,SHYAM SUNDAR URF SHYAM,Bharatiya Yuva Shakti,102
,,,,
RJ,Kaman,None of the Above,None of the Above,1127
,,,,
RJ,Kapasan,ARJUN LAL JINGAR,Bharatiya Janata Party,81470
,,,,
RJ,Kapasan,ANANDI RAM,Indian National Congress,74468
,,,,
RJ,Kapasan,SHANTI LAL,Rashtriya Loktantrik Party,27464
,,,,
RJ,Kapasan,CHUNNI LAL,Bahujan Samaj Party,1833
,,,,
RJ,Kapasan,DEVI LAL,Independent,1706
,,,,
RJ,Kapasan,SANTOSH KUMAR,Bharatiya Yuva Shakti,1349
,,,,
RJ,Kapasan,MADU,Aam Aadmi Party,698
,,,,
RJ,Kapasan,BADRI LAL,Shiv Sena,613
,,,,
RJ,Kapasan,SURESH CHANDRA,Communist Party of India  (Marxist),586
,,,,
RJ,Kapasan,PANNALAL,Janta Sena Rajasthan,395
,,,,
RJ,Kapasan,None of the Above,None of the Above,3329
,,,,
RJ,Karanpur,GURMEET SINGH KOONER,Indian National Congress,73896
,,,,
RJ,Karanpur,PRITHIPAL SINGH,Independent,45520
,,,,
RJ,Karanpur,SURENDERPAL SINGH,Bharatiya Janata Party,44099
,,,,
RJ,Karanpur,MAHENDER KUMAR RASSEWAT,Independent,15782
,,,,
RJ,Karanpur,RANJEET,Bahujan Samaj Party,1474
,,,,
RJ,Karanpur,MAMTA,Independent,1370
,,,,
RJ,Karanpur,SUKHRAM,Independent,1260
,,,,
RJ,Karanpur,HARIRAM RAMGARIA,Independent,1233
,,,,
RJ,Karanpur,PRAHLAD RAI,Aam Aadmi Party,900
,,,,
RJ,Karanpur,TITAR SINGH,Independent,653
,,,,
RJ,Karanpur,SHIV LAL,Independent,523
,,,,
RJ,Karanpur,JAIPARKASH,Independent,487
,,,,
RJ,Karanpur,PRITHVI RAJ,Independent,422
,,,,
RJ,Karanpur,CHUKI DEVI,Independent,298
,,,,
RJ,Karanpur,RAISAHAB,Republican Party of India (A),249
,,,,
RJ,Karanpur,SUNIL KUMAR MEGHWAL,Bharatiya Republican Paksha,131
,,,,
RJ,Karanpur,None of the Above,None of the Above,1300
,,,,
RJ,Karauli,LAKHAN SINGH,Bahujan Samaj Party,61163
,,,,
RJ,Karauli,DARSHAN SINGH,Indian National Congress,51601
,,,,
RJ,Karauli,OM PRAKASH SAINI URF O.P.SAINI,Bharatiya Janata Party,47022
,,,,
RJ,Karauli,VEDPRAKASH URF BANTU NETA,Independent,4986
,,,,
RJ,Karauli,KULDEEP PAL,Rashtriya Loktantrik Party,2331
,,,,
RJ,Karauli,MADANLAL,Independent,977
,,,,
RJ,Karauli,NARESH PAL,Independent,396
,,,,
RJ,Karauli,GAJRAJ SINGH,Peoples Party of India (Democratic),376
,,,,
RJ,Karauli,KAMLESH,Independent,242
,,,,
RJ,Karauli,AMARSINGH JATAV,Independent,198
,,,,
RJ,Karauli,AKHLESH KUMAR,Independent,193
,,,,
RJ,Karauli,SAHAB SINGH,Shiv Sena,140
,,,,
RJ,Karauli,CHANDRAKALA,Abhinav Rajasthan Party,123
,,,,
RJ,Karauli,VIKRAM,Bharatiya Yuva Shakti,96
,,,,
RJ,Karauli,JASWANT SINGH,Jago Party,82
,,,,
RJ,Karauli,None of the Above,None of the Above,1144
,,,,
RJ,Kathumar ,BABULAL,Indian National Congress,54110
,,,,
RJ,Kathumar ,BABULAL MANAGER,Bharatiya Janata Party,39942
,,,,
RJ,Kathumar ,RAMESH KHINCHI,Independent,32916
,,,,
RJ,Kathumar ,NARSEE KUMAR KIRAD,Rashtriya Loktantrik Party,10846
,,,,
RJ,Kathumar ,ISWAR SINGH,Bahujan Samaj Party,2332
,,,,
RJ,Kathumar ,ROOP NARAIN NAGAR,Independent,1626
,,,,
RJ,Kathumar ,BABULAL,Independent,1304
,,,,
RJ,Kathumar ,MONU RAM KOLI,Bharatiya Rashtravadi Samanta Party,628
,,,,
RJ,Kathumar ,GIRVAR SINGH,Bharatiya Yuva Shakti,615
,,,,
RJ,Kathumar ,VINOD,Ambedkarite Party of India,232
,,,,
RJ,Kathumar ,None of the Above,None of the Above,1071
,,,,
RJ,Kekri ,RAGHU SHARMA,Indian National Congress,95795
,,,,
RJ,Kekri ,RAJENDRA VINAYAKA,Bharatiya Janata Party,76334
,,,,
RJ,Kekri ,DEVKARAN SINGH KHAROL,Bahujan Samaj Party,1903
,,,,
RJ,Kekri ,SURENDAR SINGH RANAWAT,Independent,1143
,,,,
RJ,Kekri ,RAJESH SAINI,Independent,1041
,,,,
RJ,Kekri ,ABDUL RAJJAK,Aam Aadmi Party,929
,,,,
RJ,Kekri ,JAGDISH PILANIYA,Independent,343
,,,,
RJ,Kekri ,KAILASH OJHA,Independent,261
,,,,
RJ,Kekri ,BALURAM JAT,Bahujan Sangharshh Dal,224
,,,,
RJ,Kekri ,ASHOK SINGH RAO,Bharatiya Yuva Shakti,197
,,,,
RJ,Kekri ,None of the Above,None of the Above,1763
,,,,
RJ,Keshoraipatan ,CHANDRAKANTA MEGHWAL,Bharatiya Janata Party,72596
,,,,
RJ,Keshoraipatan ,RAKESH BOYAT,Indian National Congress,65477
,,,,
RJ,Keshoraipatan ,CHUNNILAL PREMI,Independent,35115
,,,,
RJ,Keshoraipatan ,SHANKAR BAIRWA,Independent,2343
,,,,
RJ,Keshoraipatan ,SHARWAN KUMAR,Bahujan Samaj Party,1683
,,,,
RJ,Keshoraipatan ,YOGESH KUMAR VERMA,Independent,1454
,,,,
RJ,Keshoraipatan ,RAJESH KUMAR MEGHWAL,Bharatiya Yuva Shakti,668
,,,,
RJ,Keshoraipatan ,MAHAVEER PRASAD,Bharatiya Rashtravadi Samanta Party,662
,,,,
RJ,Keshoraipatan ,ARVIND SINGH,Aam Aadmi Party,572
,,,,
RJ,Keshoraipatan ,PRAHLAD,Rashtriya Mazdoor Kisan Party,335
,,,,
RJ,Keshoraipatan ,None of the Above,None of the Above,4253
,,,,
RJ,Khajuwala ,GOVIND RAM,Indian National Congress,82994
,,,,
RJ,Khajuwala ,DR. VISHWANATH,Bharatiya Janata Party,51905
,,,,
RJ,Khajuwala ,MITHU SINGH,Rashtriya Loktantrik Party,9779
,,,,
RJ,Khajuwala ,GORDHAN RAM,Bahujan Samaj Party,1945
,,,,
RJ,Khajuwala ,LALIT MOHAN,Independent,1639
,,,,
RJ,Khajuwala ,TARACHAND,Independent,1206
,,,,
RJ,Khajuwala ,MANGILAL,Bharat Vahini Party,1158
,,,,
RJ,Khajuwala ,SATYANARAYAN,Aam Aadmi Party,679
,,,,
RJ,Khajuwala ,None of the Above,None of the Above,2130
,,,,
RJ,Khandar,ASHOK,Indian National Congress,89028
,,,,
RJ,Khandar,JITENDRA KUMAR GOTHWAL,Bharatiya Janata Party,61079
,,,,
RJ,Khandar,RAMPRAKASH RAIGAR,Bahujan Samaj Party,2460
,,,,
RJ,Khandar,BALRAM BAIRWA,Independent,1009
,,,,
RJ,Khandar,RAMJILAL,Bharatiya Rashtravadi Samanta Party,442
,,,,
RJ,Khandar,CHIRANJILAL BAIRWA,Independent,441
,,,,
RJ,Khandar,SHAMBHOO,Aam Aadmi Party,390
,,,,
RJ,Khandar,HARIPRASAD RAIGAR,Bharatiya Yuva Shakti,359
,,,,
RJ,Khandar,None of the Above,None of the Above,2736
,,,,
RJ,Khandela,MAHADEO SINGH,Independent,53864
,,,,
RJ,Khandela,BANSHIDHAR BAJIYA,Bharatiya Janata Party,49516
,,,,
RJ,Khandela,SUBHASH MEEL,Indian National Congress,44772
,,,,
RJ,Khandela,SUBHASH NEHARA,Communist Party of India  (Marxist),16378
,,,,
RJ,Khandela,HARI RAM,Independent,1439
,,,,
RJ,Khandela,GOKUL CHAND,Aam Aadmi Party,998
,,,,
RJ,Khandela,SHISH RAM,Independent,764
,,,,
RJ,Khandela,SHIVDAYAL PALIWAL,Independent,691
,,,,
RJ,Khandela,PHOOLCHAND,Independent,466
,,,,
RJ,Khandela,RANVEER SINGH,Independent,393
,,,,
RJ,Khandela,DOOL CHAND KUMAWAT,Independent,347
,,,,
RJ,Khandela,DEEPAK,"""Nationalist People's Front""",228
,,,,
RJ,Khandela,TEJPAL,Independent,225
,,,,
RJ,Khandela,VIKARM SINGH,Independent,188
,,,,
RJ,Khandela,None of the Above,None of the Above,2306
,,,,
RJ,Khanpur,NARENDRA NAGAR,Bharatiya Janata Party,85984
,,,,
RJ,Khanpur,SURESH,Indian National Congress,83719
,,,,
RJ,Khanpur,ARJUN SINGH GAUR,Independent,5534
,,,,
RJ,Khanpur,MOHAN LAL,Bahujan Samaj Party,1756
,,,,
RJ,Khanpur,PRAMOD KUMAR TIWARI,Independent,1334
,,,,
RJ,Khanpur,NANDKISHOR SHARMA,Aam Aadmi Party,1334
,,,,
RJ,Khanpur,RATANLAL,Independent,715
,,,,
RJ,Khanpur,KANHAIYALAL,Independent,463
,,,,
RJ,Khanpur,None of the Above,None of the Above,2415
,,,,
RJ,Kherwara ,DAYARAM PARMAR,Indian National Congress,93155
,,,,
RJ,Kherwara ,NANALAL AHARI,Bharatiya Janata Party,68164
,,,,
RJ,Kherwara ,PRAVEEN KUMAR PARMAR,Bhartiya Tribal Party,20383
,,,,
RJ,Kherwara ,SAVITA,Bahujan Samaj Party,2470
,,,,
RJ,Kherwara ,SAVITA PARMAR,Aam Aadmi Party,2206
,,,,
RJ,Kherwara ,None of the Above,None of the Above,5899
,,,,
RJ,Khetri,JITENDRA SINGH,Indian National Congress,57153
,,,,
RJ,Khetri,DHARMPAL,Bharatiya Janata Party,56196
,,,,
RJ,Khetri,POORANMAL SAINI,Bahujan Samaj Party,35166
,,,,
RJ,Khetri,AMAR SINGH,Rashtriya Loktantrik Party,1314
,,,,
RJ,Khetri,RISHAL SINGH,Independent,610
,,,,
RJ,Khetri,RAJESH,Independent,507
,,,,
RJ,Khetri,TARACHAND,Bharat Vahini Party,178
,,,,
RJ,Khetri,BAJRANG,Independent,171
,,,,
RJ,Khetri,UMRAO SINGH KADYAN,Aam Aadmi Party,165
,,,,
RJ,Khetri,PRIYANKA,Abhinav Rajasthan Party,154
,,,,
RJ,Khetri,RAMSWROOP,Bharatiya Yuva Shakti,149
,,,,
RJ,Khetri,None of the Above,None of the Above,1373
,,,,
RJ,Khinwsar,HANUMAN BENIWAL,Rashtriya Loktantrik Party,83096
,,,,
RJ,Khinwsar,SAVAI SINGH CHAUDHARY,Indian National Congress,66148
,,,,
RJ,Khinwsar,RAMCHANDRA UTTA,Bharatiya Janata Party,26809
,,,,
RJ,Khinwsar,DR. ANITA,Independent,2279
,,,,
RJ,Khinwsar,INDARAM,Bahujan Sangharshh Dal,2230
,,,,
RJ,Khinwsar,KISHAN LAL DADHICH,Independent,1262
,,,,
RJ,Khinwsar,RAMPAL MEGHWANSHI,Bahujan Samaj Party,1181
,,,,
RJ,Khinwsar,REKHA BERA,Independent,769
,,,,
RJ,Khinwsar,None of the Above,None of the Above,2344
,,,,
RJ,Kishan pole,AMIN KAGZI,Indian National Congress,71189
,,,,
RJ,Kishan pole,MOHAN LAL GUPTA,Bharatiya Janata Party,62419
,,,,
RJ,Kishan pole,LALCHAND (LALU) SARASAR,Independent,1104
,,,,
RJ,Kishan pole,SUDEEP JAIN BAGDA,Aam Aadmi Party,929
,,,,
RJ,Kishan pole,BHARAT SHARMA,Independent,914
,,,,
RJ,Kishan pole,MO. UMAR,Independent,688
,,,,
RJ,Kishan pole,SANJIV VERMA (SONI),Communist Party of India,579
,,,,
RJ,Kishan pole,VISHNU JAISWAL,Bharat Vahini Party,557
,,,,
RJ,Kishan pole,KRISHAN KUMAR MAHARSHI,Independent,282
,,,,
RJ,Kishan pole,MOHAMMAD JAHANGIR,Independent,255
,,,,
RJ,Kishan pole,AZAM ALI KHAN,Independent,250
,,,,
RJ,Kishan pole,MOHAMMAD APHAROJ,Independent,224
,,,,
RJ,Kishan pole,CHARU GUPTA,National Unionist Zamindara Party,205
,,,,
RJ,Kishan pole,AABID HUSSAIN,Independent,201
,,,,
RJ,Kishan pole,NEETA MATHUR,Bharatiya Jan Kranti Dal (Democratic),181
,,,,
RJ,Kishan pole,GAURAV JAIN,Independent,165
,,,,
RJ,Kishan pole,NARESH JAYSWAL,Independent,121
,,,,
RJ,Kishan pole,PAWAN,Independent,98
,,,,
RJ,Kishan pole,ALIMUDIN,Independent,97
,,,,
RJ,Kishan pole,SUNIL KUMAR,Dalit Soshit Pichhara Varg  Adhikar Dal,91
,,,,
RJ,Kishan pole,RAFIK BHATI,Independent,91
,,,,
RJ,Kishan pole,HARISH BARI,Independent,90
,,,,
RJ,Kishan pole,PHAJAL AHMAD,Independent,88
,,,,
RJ,Kishan pole,RAKESH PAREEK,Independent,88
,,,,
RJ,Kishan pole,NAMAN SHARMA,Jago Party,73
,,,,
RJ,Kishan pole,MUKESH KUMAR SHARMA,Independent,71
,,,,
RJ,Kishan pole,ABDUL HAMEED AKRAM,Panch Party,70
,,,,
RJ,Kishan pole,SHANKAR LAL TIKKIWAL,Independent,60
,,,,
RJ,Kishan pole,BHAGCHAND,Independent,54
,,,,
RJ,Kishan pole,MANJU KHAN,Independent,52
,,,,
RJ,Kishan pole,CHAND,Independent,47
,,,,
RJ,Kishan pole,ARUN PARASHAR,Bharatiya Yuva Shakti,47
,,,,
RJ,Kishan pole,MO. AKRAM,Independent,43
,,,,
RJ,Kishan pole,RAJESH GUPTA,Independent,41
,,,,
RJ,Kishan pole,JAMIL AHAMAD,Independent,39
,,,,
RJ,Kishan pole,SATYAJIT SINHA,Independent,35
,,,,
RJ,Kishan pole,MANISH KUMAR CHAWARIYA,Independent,32
,,,,
RJ,Kishan pole,NAFEES KHAN,Independent,30
,,,,
RJ,Kishan pole,VINOD SHARMA,Independent,27
,,,,
RJ,Kishan pole,DEEPAK LALWANI,Independent,26
,,,,
RJ,Kishan pole,HARISH KUMAR,Independent,24
,,,,
RJ,Kishan pole,SHAKIL QURESHI,Independent,23
,,,,
RJ,Kishan pole,BABU KHAN MANYAR,Independent,21
,,,,
RJ,Kishan pole,RAMSWARUP,Independent,17
,,,,
RJ,Kishan pole,SADIK,Independent,10
,,,,
RJ,Kishan pole,SHAMIM KHAN,Independent,7
,,,,
RJ,Kishan pole,None of the Above,None of the Above,754
,,,,
RJ,Kishanganj ,NIRMALA SAHARIYA,Indian National Congress,87765
,,,,
RJ,Kishanganj ,LALIT MEENA,Bharatiya Janata Party,73629
,,,,
RJ,Kishanganj ,RADHAKISHAN MEENA,Bahujan Samaj Party,2193
,,,,
RJ,Kishanganj ,KALULAL BHEEL,Bharatiya Rashtravadi Samanta Party,1484
,,,,
RJ,Kishanganj ,LEELADHAR MEENA,Bharatiya Yuva Shakti,923
,,,,
RJ,Kishanganj ,BALVEER URF BEERBAL,Independent,922
,,,,
RJ,Kishanganj ,None of the Above,None of the Above,3034
,,,,
RJ,Kishangarh,SURESH TAK,Independent,82678
,,,,
RJ,Kishangarh,VIKASH CHOUDHARY,Bharatiya Janata Party,65226
,,,,
RJ,Kishangarh,NATHU RAM SINODIYA,Independent,22851
,,,,
RJ,Kishangarh,NANDA RAM,Indian National Congress,15157
,,,,
RJ,Kishangarh,MATADEEN,Independent,2955
,,,,
RJ,Kishangarh,UMRAV CHOUDHARY,Aam Aadmi Party,1369
,,,,
RJ,Kishangarh,SUNIL LAKHOTIYA,Independent,933
,,,,
RJ,Kishangarh,SATYANARAYAN SAIN,Independent,887
,,,,
RJ,Kishangarh,RAMDAYAL,Bahujan Samaj Party,842
,,,,
RJ,Kishangarh,GOPAL SHARMA,Hindustan Shakti Sena,646
,,,,
RJ,Kishangarh,SAJJAN KANWAR,Bharatiya Yuva Shakti,450
,,,,
RJ,Kishangarh,RAMDEV GURJAR,Independent,358
,,,,
RJ,Kishangarh,TARUNA SHARMA,Bharat Lok Sewak Party,341
,,,,
RJ,Kishangarh,DR. MAHESH KUMBHAJ,Independent,287
,,,,
RJ,Kishangarh,BHAWANI SINGH KHANGAROT,Independent,253
,,,,
RJ,Kishangarh,GOPAL MAHESHWARI,Abhinav Rajasthan Party,215
,,,,
RJ,Kishangarh,None of the Above,None of the Above,674
,,,,
RJ,Kishangarh bas,DEEPCHAND,Bahujan Samaj Party,73799
,,,,
RJ,Kishangarh bas,RAMHET SINGH YADAV,Bharatiya Janata Party,63883
,,,,
RJ,Kishangarh bas,DR. KARAN SINGH YADAV,Indian National Congress,39033
,,,,
RJ,Kishangarh bas,JAGDISH CHANDRA,Abhinav Rajasthan Party,691
,,,,
RJ,Kishangarh bas,SUBEDIN,Aam Aadmi Party,680
,,,,
RJ,Kishangarh bas,SAHABUDDIN KHAN,Bharatiya Yuva Shakti,424
,,,,
RJ,Kishangarh bas,None of the Above,None of the Above,980
,,,,
RJ,Kolayat,BHANWAR SINGH BHATI,Indian National Congress,89505
,,,,
RJ,Kolayat,POONAM KANWAR BHATI,Bharatiya Janata Party,78489
,,,,
RJ,Kolayat,DR. SURESH KUMAR BISHNOI,Rashtriya Loktantrik Party,2915
,,,,
RJ,Kolayat,HANUTARAM MEGHWAL,Independent,1977
,,,,
RJ,Kolayat,RUGHANATH RAM,Bahujan Samaj Party,1350
,,,,
RJ,Kolayat,BHARTA RAM,Independent,361
,,,,
RJ,Kolayat,OM PRAKASH BISHNOI,Naya Bharat Party,223
,,,,
RJ,Kolayat,BHANWAR SINGH S/O SADUL SINGH,Independent,174
,,,,
RJ,Kolayat,BHANWAR SINGH S/O NARAYAN SINGH,Independent,174
,,,,
RJ,Kolayat,PUNAM CHAND,Aam Aadmi Party,168
,,,,
RJ,Kolayat,LIKHAMARAM,Bahujan Mukti Party,148
,,,,
RJ,Kolayat,ARJUN SINGH,Independent,145
,,,,
RJ,Kolayat,NARSINGH,Dalit Kranti Dal,92
,,,,
RJ,Kolayat,None of the Above,None of the Above,3332
,,,,
RJ,Kota North,SHANTI KUMAR DHARIWAL,Indian National Congress,94728
,,,,
RJ,Kota North,PRAHLAD GUNJAL,Bharatiya Janata Party,76783
,,,,
RJ,Kota North,NAEEM AZAD,Welfare Party Of India,771
,,,,
RJ,Kota North,RAJ SURYA KUMAR BHATT,Independent,761
,,,,
RJ,Kota North,RAJENDRA SUMAN,Bahujan Samaj Party,732
,,,,
RJ,Kota North,MOHAMMAD HUSAIN,Aam Aadmi Party,568
,,,,
RJ,Kota North,RAJESH RAIPRIA,Independent,298
,,,,
RJ,Kota North,BABULAL MEGHWAL ADVOCATE,Independent,199
,,,,
RJ,Kota North,NEERAJ AGARWAL,Independent,126
,,,,
RJ,Kota North,BHANWAR SINGH,Bharatiya Yuva Shakti,120
,,,,
RJ,Kota North,"SHAMBHU DAYAL KHANDELWAL ""CHASHME WALE""",Naya Bharat Party,92
,,,,
RJ,Kota North,None of the Above,None of the Above,2363
,,,,
RJ,Kota South,SANDEEP SHARMA,Bharatiya Janata Party,82739
,,,,
RJ,Kota South,RAKHI GAUTAM,Indian National Congress,75205
,,,,
RJ,Kota South,MANMOHAN JOSHI,Independent,2180
,,,,
RJ,Kota South,RAVINDRA SINGH (SINTU BANA),Bharatiya Yuva Shakti,1960
,,,,
RJ,Kota South,KUNJ BIHARI SINGHAL (K.B.),Aam Aadmi Party,1639
,,,,
RJ,Kota South,NAVED AKHTAR,SOCIAL DEMOCRATIC PARTY OF INDIA,983
,,,,
RJ,Kota South,RAM CHARAN,Bahujan Samaj Party,718
,,,,
RJ,Kota South,YUGAL KISHOR,Independent,683
,,,,
RJ,Kota South,NAYAN KALRA,Bharatiya Rashtravadi Samanta Party,439
,,,,
RJ,Kota South,MANISH SHARMA,Bharat Vahini Party,400
,,,,
RJ,Kota South,ACHARYA DHANRAJ SHARMA,Independent,347
,,,,
RJ,Kota South,TEJPAL,Independent,309
,,,,
RJ,Kota South,SHARAD KUMAR DIXIT,Independent,254
,,,,
RJ,Kota South,ASHUTOSH SHARMA,Independent,142
,,,,
RJ,Kota South,RAMESH SINGH TANWAR,Naya Bharat Party,129
,,,,
RJ,Kota South,RAJAN RAJGURU,Abhinav Rajasthan Party,123
,,,,
RJ,Kota South,ANIL KUMAR GUPTA,Independent,94
,,,,
RJ,Kota South,ABDUL AZIZ PATHAN,Independent,81
,,,,
RJ,Kota South,None of the Above,None of the Above,1915
,,,,
RJ,Kotputli ,RAJENDRA SINGH YADAV,Indian National Congress,57114
,,,,
RJ,Kotputli ,MUKESH GOYAL,Bharatiya Janata Party,43238
,,,,
RJ,Kotputli ,RAMSWAROOP,Rashtriya Loktantrik Party,28353
,,,,
RJ,Kotputli ,HANSRAJ,Independent,24960
,,,,
RJ,Kotputli ,HEMRAJ,Independent,1064
,,,,
RJ,Kotputli ,SATYANARAYAN AGARWAL,Aam Aadmi Party,839
,,,,
RJ,Kotputli ,SUGAN BHAI,Bahujan Samaj Party,728
,,,,
RJ,Kotputli ,BABULAL GURJAR,Bharatiya Yuva Shakti,718
,,,,
RJ,Kotputli ,PRADEEP KUMAR YADAV,Bhartiya Panchyat Party,624
,,,,
RJ,Kotputli ,MAHESH KUMAR GURJAR,Abhinav Rajasthan Party,384
,,,,
RJ,Kotputli ,None of the Above,None of the Above,1666
,,,,
RJ,Kumbhalgarh,SURENDRA SINGH RATHORE,Bharatiya Janata Party,70803
,,,,
RJ,Kumbhalgarh,GANESH SINGH,Indian National Congress,52360
,,,,
RJ,Kumbhalgarh,NARSINGH BHIL,Independent,5652
,,,,
RJ,Kumbhalgarh,NARAYAN LAL BALAI,Bahujan Samaj Party,2436
,,,,
RJ,Kumbhalgarh,BHANWAR LAL GURJAR,Aam Aadmi Party,1688
,,,,
RJ,Kumbhalgarh,MOHAN SINGH RAWAT,Independent,947
,,,,
RJ,Kumbhalgarh,JAGDISH DAS,Independent,862
,,,,
