,Const.No.,Constituency,Loser,Loser_Party,Margin,Previous_Margin,Previous_Winner,Previous_Winner_Party,State,Winner,Winner_Party
178,220,RATLAM CITY,PREMLATA DAVE,Indian National Congress,43435,40305,CHETANYA KUMAR KASHYAP,Bharatiya Janata Party,Madhya Pradesh,CHETANYA  KASYAP,Bharatiya Janata Party
179,219,RATLAM RURAL,THAWARLAL BHURIYA,Indian National Congress,5605,26969,MATHURALAL,Bharatiya Janata Party,Madhya Pradesh,DILIP KUMAR MAKWANA,Bharatiya Janata Party
180,210,RAU ,MADHU VERMA,Bharatiya Janata Party,5703,18559,JITU PATWARI,Indian National Congress,Madhya Pradesh,JITU PATWARI,Indian National Congress
181,39,REHLI,KAMLESH SAHU,Indian National Congress,26888,51765,GOPAL BHARGAVA,Bharatiya Janata Party,Madhya Pradesh,GOPAL BHARGAVA,Bharatiya Janata Party
182,74,REWA,ABHAY MISHRA,Indian National Congress,18089,37546,RAJENDRA SHUKLA,Bharatiya Janata Party,Madhya Pradesh,RAJENDRA SHUKLA,Bharatiya Janata Party
183,3,SABALAGADH ,LAL SINGH KEWAT,Bahujan Samaj Party,8737,22504,MEHARBAN SINGH RAWAT,Bharatiya Janata Party,Madhya Pradesh,BAIJNATH KUSHWAH,Indian National Congress
184,41,SAGAR ,NAVY JAIN,Indian National Congress,17366,8223,SHAILENDRA  JAIN,Bharatiya Janata Party,Madhya Pradesh,SHAILENDRA JAIN,Bharatiya Janata Party
185,221,SAILANA ,NARAYAN MAIDA,Bharatiya Janata Party,28498,2079,SANGEETA VIJAY CHAREL,Bharatiya Janata Party,Madhya Pradesh,"HARSH VIJAY GEHLOT ""GUDDU""",Indian National Congress
186,142,SANCHI (SC),MUDIT SHEJWAR,Bharatiya Janata Party,10813,20936,DR. GOURISHANKAR SHEJWAR,Bharatiya Janata Party,Madhya Pradesh,DR. PRABHURAM CHOUDHARY,Indian National Congress
187,211,SANWER,DR.RAJESH SONKAR,Bharatiya Janata Party,2945,17583,RAJESH SONKAR,Bharatiya Janata Party,Madhya Pradesh,TULSIRAM SILAWAT,Indian National Congress
188,164,SARANGPUR,KALA MAHESH MALVIYA,Indian National Congress,4381,18113,KUNWARJI KOTHAR,Bharatiya Janata Party,Madhya Pradesh,KUNWARJI KOTHAR,Bharatiya Janata Party
