,Const.No.,Constituency,Loser,Loser_Party,Margin,Previous_Margin,Previous_Winner,Previous_Winner_Party,State,Winner,Winner_Party
11,165,Bagidora ,KHEMRAJ GARASIYA,Bharatiya Janata Party,21310,14325,MAHENDRAJEET SINGH MALVIYA,Indian National Congress,Rajasthan,MAHENDRAJEET SINGH MALVIYA,Indian National Congress
12,56,Bagru ,KAILASH CHAND VERMA,Bharatiya Janata Party,5343,46356,KAILASH VERMA,Bharatiya Janata Party,Rajasthan,GANGA DEVI,Indian National Congress
13,120,Bali,UMMED SINGH,Nationalist Congress Party,28187,19588,PUSHAPENDRA SINGH,Bharatiya Janata Party,Rajasthan,PUSHPENDRA SINGH,Bharatiya Janata Party
14,91,Bamanwas,NAWAL KISHORE MEENA,Independent,38513,5662,KUNJI LAL,Bharatiya Janata Party,Rajasthan,INDRA,Indian National Congress
15,85,Bandikui ,RAM KISHOR SAINI,Bharatiya Janata Party,4764,5777,ALKA SINGH,Bharatiya Janata Party,Rajasthan,GAJRAJ KHATANA,Indian National Congress
16,63,Bansur,DEVI SINGH SHEKHAWAT,Independent,17920,23916,SHAKUNTLA RAWAT,Indian National Congress,Rajasthan,SHAKUNTALA RAWAT,Indian National Congress
17,164,Banswara ,HAKRU MAIDA,Bharatiya Janata Party,18366,30061,DHAN SINGH RAWAT,Bharatiya Janata Party,Rajasthan,ARJUN SINGH BAMNIYA,Indian National Congress
18,195,Baran-atru ,BABOO LAL VERMA,Bharatiya Janata Party,12248,20600,RAMPAL,Bharatiya Janata Party,Rajasthan,PANA CHAND MEGHWAL,Indian National Congress
19,78,Bari,JASVANT SINGH,Bharatiya Janata Party,19683,2801,GIRRAJ SINGH,Indian National Congress,Rajasthan,GIRRAJ SINGH,Indian National Congress
20,171,Bari sadri ,PRAKASH CHOUDHARY,Indian National Congress,8810,17261,GAUTAM KUMAR,Bharatiya Janata Party,Rajasthan,LALIT KUMAR OSTWAL,Bharatiya Janata Party
21,135,Barmer,COL. SONARAM CHOUDHARY (RETD),Bharatiya Janata Party,33047,5913,MEWARAM JAIN,Indian National Congress,Rajasthan,MEWARAM JAIN,Indian National Congress
22,77,Baseri ,CHHITRIYA LAL JATAV,Bharatiya Janata Party,17556,5748,RANI SILAUTIA,Bharatiya Janata Party,Rajasthan,KHILADI LAL BAIRWA,Indian National Congress
