,Const.No.,Constituency,Loser,Loser_Party,Margin,Previous_Margin,Previous_Winner,Previous_Winner_Party,State,Winner,Winner_Party
0,53,Abhanpur,CHANDRASHEKHAR SAHU - CHAMPU BHAIYYA,Bharatiya Janata Party,23471,8354,DHANENDRA SAHU,Indian National Congress,Chattisgarh,DHANENDRA SAHU,Indian National Congress
1,67,Ahiwara,RAJMAHANT SANWLA RAM DAHRE,Bharatiya Janata Party,31687,31676,RAJMAHNT SANWLA RAM DAHRE,Bharatiya Janata Party,Chattisgarh,GURU RUDRA KUMAR,Indian National Congress
2,33,Akaltara,RICHA JOGI,Bahujan Samaj Party,1854,21693,CHUNNILAL SAHU,Indian National Congress,Chattisgarh,SAURABH SINGH,Bharatiya Janata Party
3,10,Ambikapur,ANURAG SINGH DEO,Bharatiya Janata Party,39624,19558,T.S.BABA,Indian National Congress,Chattisgarh,T.S. BABA,Indian National Congress
4,79,Antagarh,VIKRAM USENDI,Bharatiya Janata Party,13414,5171,VIKRAM USENDI,Bharatiya Janata Party,Chattisgarh,ANOOP NAG,Indian National Congress
5,52,Arang,SANJAY DHIDHI,Bharatiya Janata Party,25077,13774,NAVEEN MARKANDEY,Bharatiya Janata Party,Chattisgarh,DR. SHIVKUMAR DAHARIYA,Indian National Congress
6,3,Baikunthpur,BHAIYALAL RAJWADE,Bharatiya Janata Party,5339,1069,BHAIYALAL RAJWADE,Bharatiya Janata Party,Chattisgarh,AMBICA SINGH DEO,Indian National Congress
7,45,Balodabazar,JANAK RAM VERMA,Indian National Congress,2129,9977,JANAK RAM VERMA,Indian National Congress,Chattisgarh,PRAMOD KUMAR SHARMA,Janta Congress Chhattisgarh (J)
8,40,Basna,SAMPAT AGRAWAL,Independent,17508,6239,RUPKUMARI CHOUDHARY,Bharatiya Janata Party,Chattisgarh,DEVENDRA BAHADUR SINGH,Indian National Congress
9,85,Bastar,DR. SUBHAU KASHYAP,Bharatiya Janata Party,33471,19168,BAGHEL LAKHESHWAR,Indian National Congress,Chattisgarh,BAGHEL LAKHESHWAR,Indian National Congress
10,31,Beltara,RAJENDRA SAHU(DABBU),Indian National Congress,6259,5728,BADRIDHAR DIWAN,Bharatiya Janata Party,Chattisgarh,RAJNISH KUMAR SINGH,Bharatiya Janata Party
11,69,Bemetara,AWADHESH SINGH CHANDEL,Bharatiya Janata Party,25131,15114,AWADHESH SINGH CHANDEL,Bharatiya Janata Party,Chattisgarh,ASHISH KUMAR CHHABRA,Indian National Congress
