ROHIT PATIL,Balodabazar,Rashtriya Jansabha Party,368

None of the Above,Balodabazar,None of the Above,3167

DEVENDRA BAHADUR SINGH,Basna,Indian National Congress,67535

SAMPAT AGRAWAL,Basna,Independent,50027

DURGACHARAN(D.C.) PATEL,Basna,Bharatiya Janata Party,36394

TRILOCHAN NAYAK LUNGIWALA,Basna,Janta Congress Chhattisgarh (J),7758

DR. ANAMIKA PAUL,Basna,Independent,2475

MAHENDRA SAO,Basna,Independent,2123

KALESHWAR YADAV,Basna,National Democratic Peoples Front,1753

ASHOK PRADHAN,Basna,Shiv Sena,1007

JAGDISH SIDAR,Basna,Independent,923

PRAHALLAD BARIHA,Basna,Independent,833

SANKALP DASS,Basna,Aam Aadmi Party,493

GAURISHANKAR PATEL,Basna,Independent,492

KEDARNATH PATEL,Basna,Independent,406

SADANAND SAHU,Basna,Bhartiya Shakti Chetna Party,405

YAGENDRA BHOI,Basna,Samajwadi Party,350

None of the Above,Basna,None of the Above,2431

BAGHEL LAKHESHWAR,Bastar,Indian National Congress,74378

DR. SUBHAU KASHYAP,Bastar,Bharatiya Janata Party,40907

SONSAY KASHYAP,Bastar,Janta Congress Chhattisgarh (J),3688

JAGMOHAN BAGHEL,Bastar,Aam Aadmi Party,2121

DULAB SURYAVANSHI,Bastar,Independent,2034

None of the Above,Bastar,None of the Above,5083

RAJNISH KUMAR SINGH,Beltara,Bharatiya Janata Party,49601

RAJENDRA SAHU(DABBU),Beltara,Indian National Congress,43342

ANIL TAH,Beltara,Janta Congress Chhattisgarh (J),38308

SOHIT YADAV OR BUNTY,Beltara,Independent,2576

SHITAL SONI,Beltara,Aap Sabki Apni Party,1663

SANJAY SINGH(GURUJI),Beltara,Independent,1458

ARVIND KUMAR PANDEY,Beltara,Aam Aadmi Party,881

SURESH KUMAR KINLE,Beltara,Nationalist Congress Party,797

AJAY SHARMA,Beltara,Shiv Sena,680

PARAS RAM YADAW,Beltara,Independent,518

KIRAN KUMAR SINGH,Beltara,Gondvana Gantantra Party,452

RUPENDRA KUMAR SURYAWANSHI,Beltara,Republican Party of India (A),411

NAVEEN KUMAR SAHU,Beltara,Ambedkarite Party of India,387

RAMESH SAHU,Beltara,Janata Dal  (United),363

NANDKUMAR KAMAL,Beltara,India Praja Bandhu Party,186

None of the Above,Beltara,None of the Above,2176

ASHISH KUMAR CHHABRA,Bemetara,Indian National Congress,74914

AWADHESH SINGH CHANDEL,Bemetara,Bharatiya Janata Party,49783

YOGESH TIWARI,Bemetara,Janta Congress Chhattisgarh (J),28332

SANJEEV AGRAWAL,Bemetara,Independent,4374

SOHAN LAL NISHAD,Bemetara,Nirbal Indian Shoshit Hamara Aam Dal,4275

CHURAMAN SINGH SAHU,Bemetara,Janata Dal  (United),1713

ANJOR DHAS MAHANT,Bemetara,Independent,1332

RAMCHAND SAHU,Bemetara,Independent,969

DAURAM CHOUHAN,Bemetara,Shiv Sena,638

SAIYAD FARUQUE ALI,Bemetara,Aam Aadmi Party,613

YASHWANT SITARAM SAHU,Bemetara,Bhartiya Shakti Chetna Party,526

RAJESH DUBEY,Bemetara,Independent,469

MANMOHAN THAKUR,Bemetara,Independent,375

BHUNESHWAR SATNAMI,Bemetara,Independent,362

BALDAU PRASAD SIWARE,Bemetara,Ambedkarite Party of India,343

None of the Above,Bemetara,None of the Above,3789

MANOJ SINGH MANDAVI,Bhanupratappur,Indian National Congress,72520

DEO LAL DUGGA,Bhanupratappur,Bharatiya Janata Party,45827

KOMAL HUPENDI,Bhanupratappur,Aam Aadmi Party,9634

MANAK DARPATTI,Bhanupratappur,Janta Congress Chhattisgarh (J),9611

SIYA RAM PARCHAPI,Bhanupratappur,Gondvana Gantantra Party,2698

SHYAM LAL GAWDE,Bhanupratappur,Shiv Sena,1699

DURGA PRASAD THAKUR,Bhanupratappur,Ambedkarite Party of India,1565

None of the Above,Bhanupratappur,None of the Above,4235

GULAB KAMRO,Bharatpur-sonhat,Indian National Congress,51732

CHAMPADEVI PAWLE,Bharatpur-sonhat,Bharatiya Janata Party,35199

SHYAM SINGH MARKAM,Bharatpur-sonhat,Gondvana Gantantra Party,26632

KRISHANA PRASAD CHERVA,Bharatpur-sonhat,Bahujan Samaj Party,9689

SUKHMANTI BAI,Bharatpur-sonhat,Aam Aadmi Party,2205

SHARAN SINGH,Bharatpur-sonhat,Independent,1486

KRISHNA KANT NAGVANSHI,Bharatpur-sonhat,Chhattisgarh Vikas Ganga Rashtriya Party,1409

